BEYCHAC ET CAILLAU;LATRESNE;Laura NAVARRO
MARQUAY;ARCHIGNAC;Valentyna KOCH
CALLAS;FAYENCE;Mario JONES
LATRESNE;TABANAC;Karin MEIER
ST CHRISTOPHE SUR ROC;LINAZAY;Rosa KOVÁCS
BORDEAUX ST CLAIR;FROBERVILLE;Andrei JOHANSSON
NORROY LE VENEUR;BRONVAUX;Aleksandr IVANOV
LA ROSIERE;BUSSIERES;Sergey ROBERTS
VALZERGUES;GRUISSAN;Marta RAMOS
ST PIERRE AZIF;TOURGEVILLE;Tatiana ROBERTS
ST CHAMARAND;LAMOTHE CASSEL;Sergey KLEIN
LUSSANT;TORXE;Giovanni VOLKOVA
CORBIE;DOMPIERRE SUR AUTHIE;Roman MARTIN
RONCHERES;FOSSOY;Nykolai VASILEVA
FEISSONS SUR SALINS;LES GETS;Alexander FERRARI
BELLOCQ;BENESSE LES DAX;Barbara RUIZ
PUYBARBAN;SAVIGNAC;Marie NOWAK
MOUFLERS;TERRAMESNIL;Alexander GARCIA
PEYRUSSE LE ROC;VAUREILLES;Karin SMITH
CHAMP LAURENT;LE PONTET;Angela MUÑOZ
HAUTEVILLE SUR FIER;SERRIERES EN CHAUTAGNE;Francisco BAUER
VERRIERES;CENON SUR VIENNE;Marta VOLKOVA
LAGESSE;LEROUVILLE;Dmitriy DAVIES
ILE D AIX;CLAVETTE;Denis PAVLOVA
MEMENIL;FLOREMONT;Andrea VARGA
ST FERREOL TRENTE PAS;EYROLES;Ekaterina LOPEZ
MOUZILLON;GORGES;Nadezhda KOVALENKO
ST FRANC;LES EPARRES;Tatyana IVANOV
THEYS;CRETS EN BELLEDONNE;Christine PETROV
MERIGNAC;MOSNAC;Laura JOHNSON
ROUMENGOUX;LE MAS D AZIL;Barbara BONDARENKO
PUGET SUR ARGENS;FREJUS;Andreas JIMENEZ
ST MARTIN D URIAGE;VENON;Francisco KOVÁCS
THEROUANNE;MENCAS;Richard JENSEN
BUTRY SUR OISE;LE PLESSIER SUR BULLES;Oksana VARGA
ST GENIS POUILLY;CROZET;Ekaterina KRAVCHENKO
JANVILLE;CANTELOUP;Roman FERNANDEZ
BONZEE;MANHEULLES;Yuliya EVANS
CHAPELLE VIVIERS;GUERET;Marina SCHMID
MONTREVEL EN BRESSE;CONDEISSIAT;Anastasiya SILVA
ARCACHON;UZESTE;Tomasz ALVAREZ
GRUN BORDAS;CREYSSE;Tatiana NOVIKOVA
AUBAIS;JUNAS;Anna WILSON
LOUBERS;FRAUSSEILLES;Nykolai ALVAREZ
BIDESTROFF;RORBACH LES DIEUZE;Barbara SCHÄFER
SENS;NOE;Mario SCHÄFER
ST ARROMAN;ST LAURENT DE NESTE;Klaus SIMON
BASSENS;STE FLORENCE;Natalya EVANS
SALESCHES;MONTIGNY LE FRANC;Natalya KOVÁCS
MONTAGNAC LA CREMPSE;ST ROBERT;Hans KRAVCHENKO
ST PRIVAT DU FAU;RODELLE;Francesco MORENO
MIRAMONT DE GUYENNE;SOUMENSAC;Serhei PEREIRA
CEYZERIAT;CONDEISSIAT;Vera SANCHEZ
LOISIN;NERNIER;Olha KRAVCHENKO
CHATELUS;ST ANTOINE L ABBAYE;Christine JOHNSON
LE MEREVILLOIS;MAROLLES EN BEAUCE;Denis RICHTER
BRIE;CORPS NUDS;Dmitriy COSTA
LIXING LES ROUHLING;BENING LES ST AVOLD;Nikolay SCHÄFER
FOURQUEVAUX;DEYME;Serhei KUZNETSOVA
MONTMORT;YROUERRE;Vasylyi GUTIERREZ
ST HILAIRE LE CHATEAU;ST PRIEST LIGOURE;Natalya VARGA
ST AMANS;ORSANS;Aleksey ROSSI
DOZULE;ANGERVILLE;Yuliya GOMEZ
VAL D ERDRE AUXENCE;LOIREAUXENCE;Robert SMIRNOV
VERT;LABRIT;Vladymyr MOROZOVA
ST NICOLAS D ALIERMONT;NEUWILLER;Wolfgang MARIN
GRAZAY;ST LOUP DU GAST;Mikhail WEBER
BAGNEUX;MARCON;Giuseppe MEIER
ENGLESQUEVILLE EN AUGE;HAUVILLE;Werner NOWAK
L AIGUILLON SUR VIE;ST REVEREND;Vladymyr ROSSI
LA HAUTE MAISON;AUMENANCOURT;Igor SHEVCHENKO
LUGON ET L ILE DU CARNAY;VERNEUIL SUR INDRE;Juan SIMON
SAUVIAC;CASTEX;Marie SIMON
PARIS;VRAIGNES LES HORNOY;Piotr JIMENEZ
ERBAJOLO;RIVENTOSA;Christian SHEVCHENKO
VILLEFRANCHE DU QUEYRAN;ST MARTIN DE SESCAS;Yuliya WILLIAMS
THIL;MONTANAY;Andrey BRAUN
PILLEMOINE;MONT SUR MONNET;Vasylyi BONDARENKO
THORAISE;ABERGEMENT LE GRAND;Lyubov KRAVCHENKO
MAIZEROY;ARS LAQUENEXY;Mario MOROZOVA
MINIAC MORVAN;PLOUER SUR RANCE;Nikolay BRAUN
BELLIGNAT;IZERNORE;Mikhail KLEIN
MORCENX LA NOUVELLE;CESTAS;Christine SMIRNOV
CONNEZAC;FEUILLADE;Rosa MORENO
PIOLENC;JAUNAC;Monika VASILEVA
VERAC;BELIN BELIET;David BROWN
YCHOUX;SAUGNAC ET MURET;Valentyna SCHÄFER
ORMES;VINEUIL;Ana KOVÁCS
QUINTENIC;SAUSSEY;Claude KOVÁCS
ESPES UNDUREIN;VIELLENAVE DE NAVARRENX;Rosa RICHTER
GAJAC;CASTELJALOUX;Karin GUTIERREZ
GOUVIX;BONS TASSILLY;Anton EVANS
FOUSSIGNAC;MERIGNAC;Rosa GONZALEZ
SAIGNEVILLE;AVESNES EN VAL;Claude SMITH
LANTOSQUE;ROQUEBILLIERE;Rosa ALVAREZ
CIER DE RIVIERE;VALENTINE;Mária KUZNETSOVA
BELLICOURT;REMERANGLES;Martin NAVARRO
FLOIRAC;ST GERMAIN DU PUCH;Nykolai MORENO
ALRANCE;LA TIEULE;Claude IVANOVA
FLORAC TROIS RIVIERES;ST JUST ET VACQUIERES;Yvan SANTOS
ST TRIVIER SUR MOIGNANS;STE OLIVE;Andreas WOLF
LONGEVES;ANGLIERS;Marie MUÑOZ
ST HILAIRE DE BRENS;ST SAVIN;Vera PETROVA
TEURTHEVILLE BOCAGE;OCTEVILLE L AVENEL;Mariya SHEVCHENKO
PLAISANCE DU TOUCH;PUJAUDRAN;Anna KOVÁCS
BOURGUIGNON SOUS COUCY;PIERREMANDE;Tatyana HUBER
LOURDIOS ICHERE;MOUMOUR;Angela MUÑOZ
ST JEAN POUTGE;CAILLAVET;Tatiana TORRES
COURMAS;TOURS SUR MARNE;Evgeniy DIAZ
DURRENENTZEN;DESSENHEIM;Elisabeth POPOV
LESSARD ET LE CHENE;BANNEVILLE LA CAMPAGNE;Marta ROBERTS
ST THIBAULT;PAYNS;Alexander MOROZOVA
BETCAVE AGUIN;ARRENS MARSOUS;Robert SCHNEIDER
CARS;ST GIRONS D AIGUEVIVES;Peter SOKOLOVA
THOU;VILLABON;Maksim SCHMID
PONT DE L ISERE;BARBIERES;Petra GUTIERREZ
NEUFMESNIL;TAILLEPIED;Francisco RODRIGUEZ
ANSACQ;BERTHECOURT;Ekaterina LOPEZ
ST VIAUD;LE TEMPLE DE BRETAGNE;Oksana WOLF
UCHAUD;VESTRIC ET CANDIAC;Giovanni ALVAREZ
ST GEORGES;AVRICOURT;Peter SCHMID
CORGOLOIN;VILLERS LA FAYE;Anastasiya MORENO
ST SENOCH;CLERMONT D EXCIDEUIL;Alina TÓTH
EYGURANDE ET GARDEDEUIL;GOUT ROSSIGNOL;Sandra JOHANSSON
LE PLAN;ST FERREOL DE COMMINGES;Lyubov SIMON
LE BORN;LAVILLATTE;Anne SCHÄFER
ST GEORGES DES GROSEILLERS;LA LANDE PATRY;Werner JIMENEZ
CHAVANNAZ;MUSIEGES;Tatyana MARTINEZ
LE LAUZET UBAYE;LA CONDAMINE CHATELARD;Irina SCHÄFER
TOURVILLE EN AUGE;GOMMERVILLE;Thomas THOMAS
ROUFFIGNAC;CARDAN;Monika WOLF
WINTERSBOURG;HILBESHEIM;Giuseppe VASILEVA
EVIN MALMAISON;CAMPHIN EN CAREMBAULT;Paul ROMERO
ROCHES;IGE;Petra SANTOS
VANY;VRY;Sergey NAGY
BERNIERES D AILLY;LA BELLIERE;Elena PAVLOVA
VILLETON;LAUZUN;Mario MILLER
VERNEUIL;PREPORCHE;Richard PAVLOVA
LEROUVILLE;ERNEVILLE AUX BOIS;Marta HOFFMANN
ST JEAN DU GARD;BARRE DES CEVENNES;Tomasz SMIRNOV
BLAGNY;CARIGNAN;Daniel TAYLOR
MONTAGNAC;AUMES;Nikolay KLEIN
ST MARCEL DU PERIGORD;MOULEYDIER;Petra KRAVCHENKO
LE PLESSIS PATE;GRANGERMONT;Klaus KARLSSON
BREVAINVILLE;ROMILLY;Denis SCHULZ
LANNUX;ST PERDON;Laura FERREIRA
FONTCOUVERTE LA TOUSSUIRE;ST COLOMBAN DES VILLARDS;Maksim BROWN
POUSSANGES;MAGNAT L ETRANGE;Robert MÜLLER
ST MAIGRIN;ST GIRONS D AIGUEVIVES;Michael JOHANSSON
WOLFGANTZEN;STE BARBE;Oksana RODRIGUEZ
ST AULAYE PUYMANGOU;MEDILLAC;Tomasz SCHMID
FAVIERES;VILLENEUVE ST DENIS;Alina KOCH
EAUNES;LUX;Michael PETROV
TRELAZE;VENDAYS MONTALIVET;David DAVIES
ROSNAY;L HERMENAULT;Claude IVANOVA
SEMOINE;VAUCIENNES;Giuseppe WEBER
COATREVEN;TONQUEDEC;Mikhail TÓTH
ST MEDARD DE GUIZIERES;ST PALAIS DE NEGRIGNAC;Francesco RODRIGUEZ
VALDOULE;BEAUMONT EN DIOIS;Anna RUIZ
SOLEILHAS;ANNOT;Maria GUTIERREZ
SINZOS;VILLENAVE PRES BEARN;Christian IVANOV
CARLA DE ROQUEFORT;SAUTEL;Petra MOROZOVA
ST JULIEN BEYCHEVELLE;PLASSAC;Claude FISCHER
MARSAC;NEUVIC ENTIER;Alina ALVAREZ
FREMIFONTAINE;MAIZIERES LES VIC;Nikolay TAYLOR
BOISSEZON;LE RIALET;Maksim MOROZOVA
ST GAL;ST VICTOR ET MELVIEU;Alexander ROBERTS
VILLEMAREUIL;BUSSIARES;Sandra TAYLOR
RUBELLES;MONTLHERY;Jean POPOV
DEMU;NOULENS;Valentina VARGA
RINXENT;SEMPY;Paul JONES
PEYRELEAU;VEYREAU;Pavel PAVLOVA
ST REGIS DU COIN;BOULIEU LES ANNONAY;Anton WILSON
VABRE;MONTREDON LABESSONNIE;Maria SHEVCHENKO
LES ANGLES SUR CORREZE;CAMPAGNE;Monika NOWAK
SEPTEUIL;VICQ;Monika GARCIA
VOISE;CESARVILLE DOSSAINVILLE;Petra SANCHEZ
GENLIS;CHATILLON;Tatiana VASILEVA
RAUVILLE LA PLACE;AURE SUR MER;Francesco ROSSI
CREYS MEPIEU;BOURG ST CHRISTOPHE;Mikhail SIMON
BEZONS;FREMECOURT;Aleksandra WEBER
CHANCAY;PRESSIGNY;Christine KUZNETSOV
AIGNY;AMBONNAY;Richard NAGY
COINCY;CHATEAU THIERRY;Giovanni KLEIN
BEAULIEU;OUGNY;Aleksey HERNANDEZ
NOTRE DAME DE COMMIERS;ST JUST DE CLAIX;Ana HERNANDEZ
AIMARGUES;LE CAILAR;Tomasz GARCIA
VILLERS LE ROND;ROUVROIS SUR OTHAIN;Marina NOVIKOVA
SAINTES MARIES DE LA MER;AUBORD;Denis NOVIKOVA
GUERIN;MARCELLUS;Mariya SMITH
LA MACHINE;CERCY LA TOUR;Irina SMITH
BRASSAC;CAMARES;Jose KOVALENKO
CHONAS L AMBALLAN;LE THORONET;Patrick MÜLLER
CHAMPAGNIER;NANTES EN RATIER;Maryia NAGY
SOUZAY CHAMPIGNY;CHERONNAC;Manfred MARIN
MOUSSAGES;ANGLARDS DE SALERS;Claude NAGY
ARAMON;VAISON LA ROMAINE;Klaus ROBERTS
CAMPAGNE;ST SERIES;Monika RUSSO
ST AUBIN;ESCOS;Manfred ROSSI
OLMET ET VILLECUN;LAVALETTE;Jose JONES
WALY;LAHEYCOURT;Francesco TÓTH
FOSSES;GOUILLONS;Andrey TAYLOR
ANAIS;L ISLE D ESPAGNAC;Roman SHEVCHENKO
VENTHON;TOURS EN SAVOIE;Anne JENSEN
ST FERREOL TRENTE PAS;CHAUDEBONNE;Antonio JOHNSON
OUZILLY;CHAPELLE VIVIERS;Christian FISCHER
MONTARCHER;LA FOUILLOUSE;Claude FISCHER
JUSTINE HERBIGNY;WASIGNY;Tatyana NOVIKOVA
REMEREVILLE;VARANGEVILLE;David GOMEZ
BEAUCHAMPS;DRAGEY RONTHON;Monika GONZALEZ
ST PRIEST LES FOUGERES;SARRAZAC;Michel MEIER
LIGNE;STE LUCE SUR LOIRE;Tatyana JOHANSSON
HOCQUIGNY;BEAUCHAMPS;Claude SIMON
COURNONTERRAL;VIC LE FESQ;Vasylyi GARCIA
ST JULIEN EN ST ALBAN;LABEGUDE;Tatyana NAVARRO
GENERVILLE;ALAIGNE;Rosa WILSON
LA ROCHELLE;CHATELAILLON PLAGE;Sergey POPOVA
MONTMACHOUX;ESMANS;Hans MARIN
EURVILLE BIENVILLE;CHAMOUILLEY;Karin SANCHEZ
PAILHES;MONESPLE;Marta SCHULZ
LACARRY ARHAN CHARRITTE DE HAUT;LANNE EN BARETOUS;Alexander MILLER
FROIDESTREES;MARLY GOMONT;Alina THOMAS
BEZOUCE;MEYNES;Nykolai HANSEN
ST VALLIER;COMMUNAY;Tomasz KRAVCHENKO
VALOJOULX;ST AUBIN DE MEDOC;Denis NOWAK
GUILLONVILLE;MORAINVILLE;Francisco GARCIA
THORAME HAUTE;MEAILLES;Olga SMITH
LA BARRE DE MONTS;VUE;Mikhail JOHANSSON
ST MARCEL;CEMBOING;Vera HUBER
TRAVES;NOIDANS LE FERROUX;Laura VARGA
ST JEURES;RAUCOULES;Karin WILSON
STE HELENE;AUBETERRE SUR DRONNE;Eva DIAZ
BARBERAZ;CHALLES LES EAUX;Martin IVANOVA
TREMOUILLE ST LOUP;GIOUX;Giuseppe FERNANDEZ
ST BLANCARD;SAMAN;Karin JOHNSON
CHATEAUNEUF DE VERNOUX;ARDOIX;Daniel MARTIN
VINCENT FROIDEVILLE;SARAZ;Wolfgang RAMOS
LENTILLAC DU CAUSSE;ST CHELS;Lyubov GONZALEZ
PORT SUR SAONE;RIGNEY;Patrick WOLF
LA CHAPELLE ST OUEN;VILLERS SOUS AILLY;Andreas WOLF
BESSE;LA GARDE;Anna MOROZOVA
GRACES;MOUSTERU;Tatyana SANTOS
COUSSAC BONNEVAL;STE ANNE ST PRIEST;Andreas HOFFMANN
CHAILLAND;ST HILAIRE DU MAINE;Igor BAUER
PONT DE BUIS LES QUIMERCH;LOCMELAR;Martin TORRES
AUFLANCE;MATTON ET CLEMENCY;Yvan PETROVA
PECHS DE L ESPERANCE;NOTH;Sergey FERNANDEZ
LA CELLE ST CYR;SURY AUX BOIS;Mario LOPEZ
BERNADETS DESSUS;OLEAC DESSUS;Michael SMITH
MASSINGY;RUMILLY;Michel PETROVA
TULLY;FRESSENNEVILLE;Elena KOVALENKO
ST SULPICE D EXCIDEUIL;MIALET;Michel RODRIGUEZ
DROUX;BELLEVUE LA MONTAGNE;Petra DIAZ
SONCOURT SUR MARNE;AIZANVILLE;Evgeniy PEREIRA
MOYENCOURT LES POIX;THERINES;Denis ANDERSSON
LAURET;ANGLES;Maryia WOLF
ST GERMIER;MASSABRAC;Giovanni KLEIN
CHASSAL MOLINGES;VAUX LES ST CLAUDE;Pavel FERREIRA
LA SALETTE FALLAVAUX;ASPRES LES CORPS;Ana SOKOLOVA
TOURVILLE SUR PONT AUDEMER;LA NOE POULAIN;Irina SCHNEIDER
MENS;VILLAR LOUBIERE;Marta MEIER
HARSKIRCHEN;RAON SUR PLAINE;Piotr THOMAS
BALSIEGES;PELOUSE;Wolfgang GONZALEZ
LOUBENS;STE FOY LA LONGUE;Angela MEYER
ST LAON;ST LEGER DE MONTBRUN;Denis HUBER
LARUSCADE;CORIGNAC;Dmitriy JIMENEZ
ST JEAN LE VIEUX;GAMARTHE;Patrick GOMEZ
GRANDCHAMP;FRESNAY SUR SARTHE;Jan NOVIKOVA
HURES LA PARADE;CESSIEU;Tomasz VARGA
VILLEFRANCHE LE CHATEAU;ENTRE DEUX GUIERS;Vladymyr VASILEVA
LA BOUSSAC;BAGUER PICAN;Werner BONDARENKO
SASSEY;FAUVILLE;Nykolai NOVIKOVA
ARAMITS;ISSOR;Sergey KRAVCHENKO
VOUHE;BENON;Manfred SANTOS
ST MELAINE SUR AUBANCE;LES GARENNES SUR LOIRE;Vladimir SILVA
BOUSSENOIS;CRECEY SUR TILLE;Giovanni BECKER
BASSURELS;PUJAUT;Evgeniy KLEIN
ELLON;LE BREUIL EN BESSIN;Jan MOROZOVA
MONTGESTY;AUBAS;Igor HERNANDEZ
LA GUERCHE DE BRETAGNE;BRAINS SUR LES MARCHES;Juan NOWAK
ST CHRISTOPHE DE VALAINS;ROMAZY;Peter EVANS
PASSY SUR SEINE;VILLUIS;Mária NAVARRO
AUGNE;ST SULPICE LAURIERE;Anna HANSEN
LUZECH;SABADEL LAUZES;Eva IVANOVA
COLMEN;WALDWEISTROFF;Andrea PAVLOVA
CURMONT;CRESPY LE NEUF;Nadezhda ROBERTS
CHAMPNEUVILLE;HAUMONT PRES SAMOGNEUX;Alexander BONDARENKO
ST AUNES;MONTMIRAT;Ana RODRIGUEZ
DOURNON;STE ANNE;Francisco VOLKOVA
ST PIERRE DE LAGES;CARAMAN;Serhei NAVARRO
SALEON;ST AUBAN SUR L OUVEZE;Peter RUIZ
LA CHAPELLE NEUVE;CAMOEL;Michael ANDERSSON
LEOGNAN;VIRELADE;Alina SANTOS
LE LOROUX BOTTEREAU;ST JULIEN DE CONCELLES;Ekaterina TORRES
ST GEORGES SUR FONTAINE;BEAUTOT;Laura FERRARI
FONTAINE L ABBE;ST EVROULT NOTRE DAME DU BOIS;Maksim ALONSO
VALLOIRE;ALBIEZ MONTROND;Vladimir NAGY
BOURNAZEL;LIVERS CAZELLES;Marta GOMEZ
LUZY ST MARTIN;THONNELLE;Hans GOMEZ
SAUMERAY;MONTRICHARD VAL DE CHER;Natalya SCHULZ
VUE;ST HILAIRE DE CHALEONS;David PEREZ
VIGNIEU;SERRIERES SUR AIN;Roman HANSEN
ST PIERRE DE BUZET;DAMAZAN;Nadezhda WILSON
BLOMBAY;TOURTERON;Roman WILSON
BELLEGARDE DU RAZES;ESCUEILLENS ET ST JUST;Patrick KLEIN
FLAGY;CHAUX LES PORT;Roman PETROV
ST BONNET LE FROID;VILLETTE DE VIENNE;Richard NOVIKOVA
ST NICOLAS LA CHAPELLE;LE BOUCHET MONT CHARVIN;Anastasiya SCHNEIDER
PORTIRAGNES;MONTBLANC;Marina FERRARI
ST ROMAIN DE MONPAZIER;SENIERGUES;Vasylyi MOROZOVA
ARGELES GAZOST;LEZIGNAN;Lyubov WOLF
ORLIAC DE BAR;JANAILHAC;Alexander MARIN
RETOURNAC;UFFHEIM;Manfred MORENO
SOMMERANCE;CORNAY;Mária IVANOV
LE CASTELET;FONTENAY LE MARMION;Claude ZIMMERMANN
RAMOUZENS;ST LEZER;Josef ROMERO
NEUVY AU HOULME;BAGNOLES DE L ORNE NORMANDIE;Andrei SOKOLOVA
MILLERY;LAVAUDIEU;Nadezhda POPOV
LAHOURCADE;MOUMOUR;Valentyna FERRARI
PONSAMPERE;BARS;Elena PEREIRA
BLAMONT;VANDELANS;Nadezhda VASILEVA
LA GREE ST LAURENT;BRIGNAC;Tatyana SCHULZ
STE CROIX;BESSENAY;Tatyana FISCHER
